Week Ending,Price
2004 Oct 01,5.73
2004 Oct 08,5.92
2004 Oct 15,5.61
2004 Oct 22,6.70
2004 Oct 29,7.38
2004 Nov 05,6.92
2004 Nov 12,6.12
2004 Nov 19,5.81
2004 Nov 26,5.16
2004 Dec 03,6.61
2004 Dec 10,6.08
2004 Dec 17,7.03
2004 Dec 24,7.00
2004 Dec 31,6.26
2005 Jan 07,5.74
2005 Jan 14,6.11
2005 Jan 21,6.40
2005 Jan 28,6.40
2005 Feb 04,6.25
2005 Feb 11,6.08
2005 Feb 18,6.00
2005 Feb 25,6.13
2005 Mar 04,6.62
2005 Mar 11,6.82
2005 Mar 18,7.09
2005 Mar 25,7.15
2005 Apr 01,7.22
2005 Apr 08,7.49
2005 Apr 15,7.11
2005 Apr 22,7.00
2005 Apr 29,6.95
2005 May 06,6.58
2005 May 13,6.59
2005 May 20,6.42
2005 May 27,6.33
2005 Jun 03,6.49
2005 Jun 10,7.11
2005 Jun 17,7.36
2005 Jun 24,7.52
2005 Jul 01,7.09
2005 Jul 08,7.64
2005 Jul 15,7.79
2005 Jul 22,7.65
2005 Jul 29,7.56
2005 Aug 05,8.46
2005 Aug 12,9.07
2005 Aug 19,9.53
2005 Aug 26,9.81
2005 Sep 02,11.60
2005 Sep 09,11.14
2005 Sep 16,10.94
2005 Sep 23,13.46
2005 Oct 07,13.67
2005 Oct 14,13.40
2005 Oct 21,13.36
2005 Oct 28,13.71
2005 Nov 04,10.86
2005 Nov 11,9.22
2005 Nov 18,10.26
2005 Nov 25,10.88
2005 Dec 02,11.89
2005 Dec 09,14.21
2005 Dec 16,14.49
2005 Dec 23,13.06
2005 Dec 30,9.93
2006 Jan 06,9.42
2006 Jan 13,8.63
2006 Jan 20,8.67
2006 Jan 27,8.22
2006 Feb 03,8.36
2006 Feb 10,7.80
2006 Feb 17,7.25
2006 Feb 24,7.39
2006 Mar 03,6.71
2006 Mar 10,6.44
2006 Mar 17,7.06
2006 Mar 24,7.10
2006 Mar 31,7.11
2006 Apr 07,6.98
2006 Apr 14,6.81
2006 Apr 21,7.63
2006 Apr 28,7.17
2006 May 05,6.61
2006 May 12,6.55
2006 May 19,5.92
2006 May 26,5.96
2006 Jun 02,6.16
2006 Jun 09,6.06
2006 Jun 16,6.30
2006 Jun 23,6.50
2006 Jun 30,5.97
2006 Jul 07,5.39
2006 Jul 14,5.74
2006 Jul 21,6.04
2006 Jul 28,6.82
2006 Aug 04,8.08
2006 Aug 11,7.43
2006 Aug 18,6.84
2006 Aug 25,7.09
2006 Sep 01,6.04
2006 Sep 08,5.53
2006 Sep 15,5.15
2006 Sep 22,4.80
2006 Sep 29,4.17
2006 Oct 06,4.32
2006 Oct 13,5.07
2006 Oct 20,6.22
2006 Oct 27,7.39
2006 Nov 03,7.11
2006 Nov 10,7.04
2006 Nov 17,7.39
